Epoch,Loss
0,111283.8203125
1,110182.6015625
2,108966.125
3,107607.90625
4,106071.5546875
5,104308.765625
6,102253.7109375
7,99814.4921875
8,96859.765625
9,93197.6484375
10,88543.6875
11,82479.5703125
12,74436.34375
13,63870.328125
14,51121.234375
15,38940.390625
16,30780.78125
17,26111.357421875
18,22848.580078125
19,20149.9296875
20,17823.00390625
21,15804.7490234375
22,14052.939453125
23,12532.123046875
24,11211.6689453125
25,10065.0048828125
26,9069.0888671875
27,8203.923828125
28,7452.15673828125
29,6798.73486328125
30,6230.60009765625
31,5736.4208984375
32,5306.3662109375
33,4931.912109375
34,4605.6640625
35,4321.208984375
36,4072.983154296875
37,3856.16650390625
38,3666.57958984375
39,3500.599609375
40,3355.088134765625
41,3227.32763671875
42,3114.962646484375
43,3015.95703125
44,2928.54638671875
45,2851.204833984375
46,2782.614013671875
47,2721.634521484375
48,2667.28076171875
49,2618.701171875
50,2575.161376953125
51,2536.025390625
52,2500.74609375
53,2468.848388671875
54,2439.92431640625
55,2413.61865234375
56,2389.625
57,2367.677734375
58,2347.547119140625
59,2329.032470703125
60,2311.959228515625
61,2296.17578125
62,2281.54931640625
63,2267.96337890625
64,2255.31640625
65,2243.51806640625
66,2232.4892578125
67,2222.159912109375
68,2212.46826171875
69,2203.3583984375
70,2194.781982421875
71,2186.6943359375
72,2179.056396484375
73,2171.8330078125
74,2164.991943359375
75,2158.50439453125
76,2152.344970703125
77,2146.48974609375
78,2140.917724609375
79,2135.609130859375
80,2130.54638671875
81,2125.71337890625
82,2121.095703125
83,2116.67919921875
84,2112.451416015625
85,2108.4013671875
86,2104.518310546875
87,2100.792236328125
88,2097.21435546875
89,2093.7763671875
90,2090.470458984375
91,2087.28955078125
92,2084.226806640625
93,2081.276123046875
94,2078.431884765625
95,2075.6884765625
96,2073.041015625
97,2070.484375
98,2068.0146484375
99,2065.62744140625
100,2063.319091796875
101,2061.085693359375
102,2058.924072265625
103,2056.830810546875
104,2054.802490234375
105,2052.83740234375
106,2050.931640625
107,2049.083251953125
108,2047.289794921875
109,2045.549072265625
110,2043.8583984375
111,2042.21630859375
112,2040.6209716796875
113,2039.070068359375
114,2037.56201171875
115,2036.0953369140625
116,2034.668212890625
117,2033.279541015625
118,2031.927490234375
119,2030.61083984375
120,2029.328369140625
121,2028.078857421875
122,2026.861083984375
123,2025.673828125
124,2024.516357421875
125,2023.387451171875
126,2022.2861328125
127,2021.2113037109375
128,2020.16259765625
129,2019.138671875
130,2018.138671875
131,2017.1619873046875
132,2016.2081298828125
133,2015.2760009765625
134,2014.365234375
135,2013.474853515625
136,2012.604248046875
137,2011.75341796875
138,2010.9207763671875
139,2010.1065673828125
140,2009.309814453125
141,2008.5301513671875
142,2007.7672119140625
143,2007.0203857421875
144,2006.2889404296875
145,2005.572998046875
146,2004.87158203125
147,2004.184814453125
148,2003.51171875
149,2002.8524169921875
150,2002.2061767578125
151,2001.572998046875
152,2000.9520263671875
153,2000.343505859375
154,1999.746826171875
155,1999.161376953125
156,1998.58740234375
157,1998.0244140625
158,1997.47216796875
159,1996.93017578125
160,1996.3984375
161,1995.87646484375
162,1995.3641357421875
163,1994.861328125
164,1994.3675537109375
165,1993.8826904296875
166,1993.40673828125
167,1992.939208984375
168,1992.47998046875
169,1992.0289306640625
170,1991.585693359375
171,1991.1502685546875
172,1990.722412109375
173,1990.302001953125
174,1989.888916015625
175,1989.4827880859375
176,1989.08349609375
177,1988.6907958984375
178,1988.304931640625
179,1987.9251708984375
180,1987.5521240234375
181,1987.18505859375
182,1986.823974609375
183,1986.4688720703125
184,1986.11962890625
185,1985.77587890625
186,1985.437744140625
187,1985.10498046875
188,1984.7774658203125
189,1984.4552001953125
190,1984.137939453125
191,1983.8258056640625
192,1983.5185546875
193,1983.2159423828125
194,1982.918212890625
195,1982.6246337890625
196,1982.3359375
197,1982.051513671875
198,1981.771240234375
199,1981.495361328125
200,1981.2237548828125
201,1980.9560546875
202,1980.6923828125
203,1980.4326171875
204,1980.176513671875
205,1979.92431640625
206,1979.6759033203125
207,1979.43115234375
208,1979.189697265625
209,1978.9520263671875
210,1978.717529296875
211,1978.4864501953125
212,1978.2586669921875
213,1978.0341796875
214,1977.812744140625
215,1977.594482421875
216,1977.37939453125
217,1977.167236328125
218,1976.9580078125
219,1976.751708984375
220,1976.548095703125
221,1976.3472900390625
222,1976.1494140625
223,1975.9541015625
224,1975.761474609375
225,1975.571533203125
226,1975.3839111328125
227,1975.19921875
228,1975.0166015625
229,1974.83642578125
230,1974.658935546875
231,1974.483642578125
232,1974.3104248046875
233,1974.1397705078125
234,1973.97119140625
235,1973.804931640625
236,1973.640869140625
237,1973.47900390625
238,1973.3187255859375
239,1973.1610107421875
240,1973.0050048828125
241,1972.851318359375
242,1972.6993408203125
243,1972.5494384765625
244,1972.4013671875
245,1972.2552490234375
246,1972.1104736328125
247,1971.9681396484375
248,1971.827392578125
249,1971.688232421875
250,1971.55078125
251,1971.415283203125
252,1971.28125
253,1971.14892578125
254,1971.01806640625
255,1970.88916015625
256,1970.761474609375
257,1970.635498046875
258,1970.510986328125
259,1970.387939453125
260,1970.2666015625
261,1970.1463623046875
262,1970.027587890625
263,1969.910400390625
264,1969.79443359375
265,1969.68017578125
266,1969.56689453125
267,1969.4552001953125
268,1969.344482421875
269,1969.2353515625
270,1969.127685546875
271,1969.020751953125
272,1968.9154052734375
273,1968.81103515625
274,1968.7080078125
275,1968.606201171875
276,1968.5054931640625
277,1968.406005859375
278,1968.3076171875
279,1968.210205078125
280,1968.114013671875
281,1968.01904296875
282,1967.9249267578125
283,1967.83203125
284,1967.739990234375
285,1967.6490478515625
286,1967.55908203125
287,1967.4703369140625
288,1967.3824462890625
289,1967.2952880859375
290,1967.20947265625
291,1967.12451171875
292,1967.0404052734375
293,1966.95703125
294,1966.874755859375
295,1966.79345703125
296,1966.712890625
297,1966.63330078125
298,1966.5548095703125
299,1966.4766845703125
300,1966.3995361328125
301,1966.3233642578125
302,1966.247802734375
303,1966.173095703125
304,1966.099365234375
305,1966.0263671875
306,1965.9539794921875
307,1965.8824462890625
308,1965.811767578125
309,1965.7418212890625
310,1965.67236328125
311,1965.60400390625
312,1965.5360107421875
313,1965.46875
314,1965.40234375
315,1965.336669921875
316,1965.271728515625
317,1965.2071533203125
318,1965.1435546875
319,1965.08056640625
320,1965.0179443359375
321,1964.9561767578125
322,1964.8948974609375
323,1964.83447265625
324,1964.7745361328125
325,1964.7152099609375
326,1964.656494140625
327,1964.5985107421875
328,1964.541015625
329,1964.48388671875
330,1964.427490234375
331,1964.3717041015625
