Epoch,Loss
0,130156.09375
1,129371.671875
2,128673.890625
3,128044.4375
4,127470.6953125
5,126943.0234375
6,126453.921875
7,125997.4140625
8,125568.671875
9,125163.7421875
10,124779.3125
11,124412.6328125
12,124061.3125
13,123723.359375
14,123396.984375
15,123080.703125
16,122773.078125
17,122472.9765625
18,122179.2421875
19,121890.921875
20,121607.0625
21,121326.8671875
22,121049.515625
23,120774.2578125
24,120500.375
25,120227.1953125
26,119954.015625
27,119680.1953125
28,119405.0703125
29,119127.96875
30,118848.2265625
31,118565.1328125
32,118277.96875
33,117986.0
34,117688.40625
35,117384.375
36,117073.0078125
37,116753.296875
38,116424.2109375
39,116084.578125
40,115733.15625
41,115368.46875
42,114989.0078125
43,114592.96875
44,114178.34375
45,113742.875
46,113283.96875
47,112798.6015625
48,112283.3359375
49,111734.09375
50,111146.109375
51,110513.75
52,109830.25
53,109087.421875
54,108275.3515625
55,107381.796875
56,106391.453125
57,105285.0625
58,104037.953125
59,102617.9921875
60,100982.65625
61,99074.5703125
62,96814.6875
63,94091.5
64,90744.0859375
65,86534.984375
66,81109.28125
67,73945.46875
68,64361.953125
69,51886.04296875
70,37738.68359375
71,26286.267578125
72,20213.8359375
73,17213.51953125
74,15180.8515625
75,13503.03515625
76,12055.0830078125
77,10797.939453125
78,9705.904296875
79,8757.2353515625
80,7932.9970703125
81,7216.70703125
82,6594.044921875
83,6052.58154296875
84,5581.5283203125
85,5171.5263671875
86,4814.45654296875
87,4503.2802734375
88,4231.888671875
89,3994.99169921875
90,3787.9951171875
91,3606.921630859375
92,3448.32275390625
93,3309.213134765625
94,3187.0029296875
95,3079.4541015625
96,2984.627685546875
97,2900.84521484375
98,2826.656494140625
99,2760.807861328125
100,2702.21337890625
101,2649.9375
102,2603.17138671875
103,2561.215087890625
104,2523.465087890625
105,2489.400146484375
106,2458.5703125
107,2430.58544921875
108,2405.108642578125
109,2381.847900390625
110,2360.55078125
111,2340.997314453125
112,2322.99755859375
113,2306.384765625
114,2291.013671875
115,2276.758544921875
116,2263.5068359375
117,2251.16162109375
