Epoch,Loss
0,36841.0859375
1,36815.296875
2,36789.77734375
3,36764.421875
4,36739.19921875
5,36714.109375
6,36689.1328125
7,36664.27734375
8,36639.52734375
9,36614.8828125
10,36590.3359375
11,36565.8828125
12,36541.5078125
13,36517.21875
14,36493.0078125
15,36468.859375
16,36444.7890625
17,36420.765625
18,36396.80078125
19,36372.88671875
20,36349.015625
21,36325.1796875
22,36301.38671875
23,36277.6171875
24,36253.875
25,36230.1484375
26,36206.44140625
27,36182.7421875
28,36159.05078125
29,36135.359375
30,36111.6640625
31,36087.9609375
32,36064.234375
33,36040.50390625
34,36016.7421875
35,35992.95703125
36,35969.13671875
37,35945.28125
38,35921.3828125
39,35897.4375
40,35873.44140625
41,35849.38671875
42,35825.2734375
43,35801.08984375
44,35776.8359375
45,35752.5078125
46,35728.09375
47,35703.6015625
48,35679.0078125
49,35654.3203125
50,35629.53125
51,35604.62890625
52,35579.6171875
53,35554.484375
54,35529.22265625
55,35503.8359375
56,35478.3125
57,35452.640625
58,35426.81640625
59,35400.84375
60,35374.70703125
61,35348.3984375
62,35321.9140625
63,35295.24609375
64,35268.390625
65,35241.34375
66,35214.08203125
67,35186.609375
68,35158.921875
69,35131.0078125
70,35102.8515625
71,35074.453125
72,35045.796875
73,35016.8828125
74,34987.6953125
75,34958.2265625
76,34928.46484375
77,34898.40625
78,34868.02734375
79,34837.328125
80,34806.296875
81,34774.91796875
82,34743.18359375
83,34711.078125
84,34678.5859375
85,34645.69921875
86,34612.3984375
87,34578.671875
88,34544.515625
89,34509.890625
90,34474.80078125
91,34439.21875
92,34403.12890625
93,34366.515625
94,34329.359375
95,34291.64453125
96,34253.33984375
97,34214.4296875
98,34174.890625
99,34134.69921875
100,34093.8359375
101,34052.2578125
102,34009.9609375
103,33966.8984375
104,33923.0546875
105,33878.38671875
106,33832.8671875
107,33786.4609375
108,33739.12890625
109,33690.8359375
110,33641.54296875
111,33591.203125
112,33539.7734375
113,33487.2109375
114,33433.453125
115,33378.45703125
116,33322.1640625
117,33264.515625
118,33205.4453125
119,33144.8828125
120,33082.76953125
121,33019.01171875
122,32953.546875
123,32886.265625
124,32817.09765625
125,32745.93359375
126,32672.6640625
127,32597.181640625
128,32519.359375
129,32439.0703125
130,32356.171875
131,32270.51171875
132,32181.921875
133,32090.23046875
134,31995.244140625
135,31896.75
136,31794.5234375
137,31688.3203125
138,31577.869140625
139,31462.876953125
140,31343.01953125
141,31217.951171875
142,31087.2734375
143,30950.564453125
144,30807.3515625
145,30657.1171875
146,30499.2734375
147,30333.181640625
148,30158.12109375
149,29973.28515625
150,29777.775390625
151,29570.5703125
152,29350.537109375
153,29116.369140625
154,28866.59375
155,28599.53515625
156,28313.28125
157,28005.626953125
158,27674.048828125
159,27315.6328125
160,26927.001953125
161,26504.255859375
162,26042.8671875
163,25537.59375
164,24982.369140625
165,24370.21484375
166,23693.197265625
167,22942.439453125
168,22108.326171875
169,21180.98046875
170,20151.25
171,19012.45703125
172,17763.24609375
173,16411.509765625
174,14978.99609375
175,13504.73828125
176,12044.287109375
177,10661.8349609375
178,9415.87109375
179,8344.45703125
180,7458.173828125
181,6743.7099609375
182,6173.90380859375
183,5717.85986328125
184,5347.43359375
185,5039.9130859375
186,4778.2529296875
187,4550.19091796875
188,4347.125
189,4163.08837890625
190,3993.951416015625
191,3836.84423828125
192,3689.748779296875
193,3551.224853515625
194,3420.223388671875
195,3295.957275390625
196,3177.82080078125
197,3065.33447265625
198,2958.107666015625
199,2855.807861328125
200,2758.150146484375
201,2664.881591796875
202,2575.775390625
203,2490.623779296875
204,2409.236328125
205,2331.43359375
206,2257.04833984375
207,2185.924560546875
208,2117.91064453125
209,2052.8681640625
210,1990.6610107421875
211,1931.1632080078125
212,1874.251708984375
213,1819.8121337890625
214,1767.732666015625
215,1717.908203125
216,1670.2384033203125
217,1624.626708984375
218,1580.9818115234375
219,1539.2158203125
220,1499.2451171875
221,1460.989501953125
222,1424.3719482421875
223,1389.3212890625
224,1355.765869140625
225,1323.6402587890625
226,1292.880859375
227,1263.42626953125
228,1235.21875
229,1208.2025146484375
230,1182.3245849609375
231,1157.5341796875
232,1133.78369140625
233,1111.0257568359375
234,1089.2171630859375
235,1068.31494140625
236,1048.2791748046875
237,1029.0709228515625
238,1010.6536865234375
239,992.9923706054688
240,976.053466796875
241,959.8048706054688
242,944.215576171875
243,929.2568359375
244,914.9003295898438
245,901.1195068359375
246,887.8884887695312
247,875.1837158203125
248,862.9811401367188
249,851.2590942382812
250,839.9959716796875
251,829.1721801757812
252,818.7677612304688
253,808.7645874023438
254,799.1448364257812
255,789.8916015625
256,780.989013671875
257,772.421875
258,764.1754760742188
259,756.2354125976562
260,748.5888671875
261,741.222900390625
262,734.1254272460938
263,727.284912109375
264,720.6900634765625
265,714.3302612304688
266,708.19580078125
267,702.2767944335938
268,696.5640258789062
269,691.048828125
270,685.722900390625
271,680.578125
272,675.607177734375
273,670.8024291992188
274,666.1570434570312
275,661.6644897460938
276,657.3184814453125
277,653.1129150390625
278,649.0421142578125
279,645.100341796875
280,641.28271484375
281,637.5838012695312
282,633.9990234375
283,630.52392578125
284,627.1539306640625
285,623.8851318359375
286,620.7135009765625
287,617.635009765625
288,614.6463012695312
289,611.7438354492188
290,608.9241333007812
291,606.184326171875
292,603.52099609375
293,600.931640625
294,598.4134521484375
295,595.963623046875
296,593.579833984375
297,591.259521484375
298,589.000244140625
299,586.8001708984375
300,584.6568603515625
301,582.5684814453125
302,580.5330200195312
303,578.5486450195312
304,576.6135864257812
305,574.7261962890625
306,572.884765625
307,571.0878295898438
308,569.333740234375
309,567.62109375
310,565.9486694335938
311,564.315185546875
312,562.7191772460938
313,561.159423828125
314,559.6348266601562
315,558.1444091796875
316,556.6869506835938
317,555.2613525390625
318,553.8668212890625
319,552.502197265625
320,551.1668090820312
321,549.8594970703125
322,548.57958984375
323,547.3262329101562
324,546.0987548828125
325,544.8961181640625
326,543.7178955078125
327,542.5633544921875
328,541.4315795898438
329,540.322021484375
330,539.2342529296875
331,538.1673583984375
332,537.1209716796875
333,536.094482421875
334,535.08740234375
335,534.0991821289062
336,533.1292724609375
337,532.1771240234375
338,531.2423706054688
339,530.3246459960938
340,529.42333984375
341,528.5380859375
342,527.66845703125
343,526.8140258789062
344,525.974609375
345,525.1495971679688
346,524.338623046875
347,523.54150390625
348,522.7578125
349,521.9872436523438
350,521.2294921875
351,520.4841918945312
352,519.751220703125
353,519.0301513671875
354,518.3206787109375
355,517.6224975585938
356,516.9354248046875
357,516.25927734375
358,515.5936279296875
359,514.9383544921875
360,514.2933349609375
361,513.658203125
362,513.03271484375
363,512.4166870117188
364,511.8099365234375
365,511.21221923828125
366,510.62335205078125
367,510.0432434082031
368,509.4715576171875
369,508.9082946777344
370,508.3531494140625
371,507.805908203125
372,507.26654052734375
373,506.7347717285156
374,506.2105712890625
375,505.6936950683594
376,505.18402099609375
377,504.681396484375
378,504.1856994628906
379,503.6966857910156
380,503.21435546875
381,502.73858642578125
382,502.2691955566406
383,501.80609130859375
384,501.3490905761719
385,500.89813232421875
386,500.45306396484375
387,500.0137939453125
388,499.58026123046875
389,499.1522216796875
390,498.729736328125
391,498.3126220703125
392,497.9007568359375
393,497.4941711425781
394,497.0925598144531
395,496.6960144042969
396,496.3043518066406
397,495.9175109863281
398,495.5354309082031
399,495.1579895019531
400,494.78521728515625
401,494.4168395996094
402,494.05291748046875
403,493.69329833984375
404,493.33795166015625
405,492.98687744140625
406,492.639892578125
407,492.2969970703125
408,491.9580078125
409,491.6230773925781
410,491.29193115234375
411,490.9645080566406
412,490.64093017578125
413,490.3209228515625
414,490.00457763671875
415,489.69183349609375
416,489.38250732421875
417,489.0766296386719
418,488.77410888671875
419,488.47491455078125
420,488.1790771484375
421,487.8864440917969
422,487.5969543457031
423,487.3106689453125
424,487.02740478515625
425,486.74713134765625
426,486.46990966796875
427,486.1956481933594
428,485.9241943359375
429,485.65570068359375
430,485.38995361328125
431,485.1269836425781
432,484.86676025390625
433,484.60919189453125
434,484.35430908203125
435,484.1020202636719
436,483.8523254394531
437,483.60516357421875
438,483.3604431152344
439,483.1182861328125
440,482.87841796875
441,482.6409912109375
442,482.4059143066406
443,482.1732177734375
444,481.9427490234375
445,481.714599609375
446,481.4886474609375
447,481.2649230957031
448,481.0433654785156
449,480.82391357421875
450,480.6065979003906
451,480.3913269042969
452,480.17816162109375
453,479.9669494628906
454,479.7578125
455,479.550537109375
456,479.3453369140625
457,479.1419677734375
458,478.9405212402344
459,478.740966796875
460,478.543212890625
461,478.3472900390625
462,478.15313720703125
463,477.9608154296875
464,477.77020263671875
465,477.581298828125
466,477.3941650390625
467,477.20867919921875
468,477.0248718261719
469,476.8426513671875
470,476.662109375
471,476.48309326171875
472,476.3056945800781
473,476.12982177734375
474,475.95556640625
475,475.78277587890625
476,475.61151123046875
477,475.4417724609375
478,475.2734375
479,475.1065979003906
480,474.941162109375
481,474.77716064453125
482,474.614501953125
483,474.4532470703125
484,474.29339599609375
485,474.13482666015625
486,473.9776611328125
487,473.8217468261719
488,473.66717529296875
489,473.51385498046875
490,473.36181640625
491,473.2110595703125
492,473.0615539550781
493,472.9132385253906
494,472.7660827636719
495,472.6202087402344
496,472.4754943847656
497,472.33197021484375
498,472.1895751953125
499,472.04833984375
