EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.6388596296310425,0.7248676419258118,0.6466634273529053,0.645544171333313
1,0.6629299521446228,0.7497451901435852,0.6736689805984497,0.6654030084609985
2,0.6323128342628479,0.6968735456466675,0.6576603055000305,0.6368429660797119
3,0.6920005679130554,0.763920247554779,0.7038046717643738,0.6966361999511719
4,0.6273158192634583,0.6657450199127197,0.6502364873886108,0.6555989980697632
5,0.6835014224052429,0.7359216809272766,0.7146667242050171,0.6868801116943359
6,0.6399812698364258,0.713420033454895,0.6659708023071289,0.6416866779327393
7,0.6569074988365173,0.739286482334137,0.6594403386116028,0.6675489544868469
8,0.6751439571380615,0.7264348864555359,0.7116853594779968,0.6765387654304504
9,0.6470893025398254,0.7024493217468262,0.6745321750640869,0.6511269211769104
10,0.6577626466751099,0.7331840395927429,0.6701796650886536,0.6611624360084534
11,0.6298353672027588,0.6830922961235046,0.6375591158866882,0.6498430967330933
12,0.693665087223053,0.7396299839019775,0.7278501391410828,0.6965523958206177
13,0.6459276676177979,0.7101014852523804,0.6687248349189758,0.6546276211738586
14,0.6484069228172302,0.6910654902458191,0.6923545598983765,0.6467404961585999
15,0.6708334684371948,0.7090270519256592,0.6974793076515198,0.6777927875518799
16,0.660166323184967,0.7309808135032654,0.670867919921875,0.6769258379936218
17,0.6741758584976196,0.7121849060058594,0.6903660297393799,0.6878117322921753
18,0.6684960126876831,0.7099010944366455,0.7126578688621521,0.6675035357475281
19,0.6211182475090027,0.6776342988014221,0.6646519899368286,0.6191942691802979
