EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.6137279272079468,0.6145245432853699,0.6153363585472107,0.6136862635612488
1,0.6489713191986084,0.6458011269569397,0.6537432074546814,0.6483553051948547
2,0.6492968201637268,0.654488205909729,0.6463890671730042,0.6494166851043701
3,0.6341208815574646,0.634543240070343,0.6357501745223999,0.634048342704773
4,0.6463817358016968,0.6455460786819458,0.6490958333015442,0.6463167071342468
5,0.644769549369812,0.6418972611427307,0.6491944193840027,0.6443696022033691
6,0.6477696299552917,0.6453292369842529,0.6515547037124634,0.6473674774169922
7,0.6776933073997498,0.6766570806503296,0.6804139614105225,0.677632212638855
8,0.6515651345252991,0.6526975035667419,0.652458131313324,0.6514180898666382
9,0.6271740794181824,0.6264870166778564,0.6297711730003357,0.6270668506622314
10,0.6793582439422607,0.6784992218017578,0.6818243265151978,0.6790195107460022
11,0.676023006439209,0.6779605746269226,0.675886332988739,0.6760777831077576
12,0.6600669026374817,0.6612684726715088,0.6607927083969116,0.6599078178405762
13,0.6549379229545593,0.659398078918457,0.6523888111114502,0.654961109161377
14,0.6362208724021912,0.635556161403656,0.6386021375656128,0.6359205842018127
15,0.6474993824958801,0.6481367945671082,0.6488634347915649,0.6475984454154968
16,0.6486212015151978,0.6483398079872131,0.650838315486908,0.6484937071800232
17,0.6409327983856201,0.6407422423362732,0.6430421471595764,0.6408593058586121
18,0.6370367407798767,0.6390406489372253,0.6370949149131775,0.6372039914131165
19,0.6243643760681152,0.6287322640419006,0.62201988697052,0.6246175169944763
