EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7565798759460449,0.7615340352058411,0.7655949592590332,0.7565798759460449
1,0.7643104195594788,0.7763922810554504,0.7650681734085083,0.7643100023269653
2,0.7497751116752625,0.7557901740074158,0.7581584453582764,0.7497749328613281
3,0.7641287446022034,0.7681810855865479,0.7740073204040527,0.7641289234161377
4,0.7678581476211548,0.7743883728981018,0.7754312753677368,0.76785808801651
5,0.7518324255943298,0.7605280876159668,0.7551289796829224,0.7518322467803955
6,0.7389829158782959,0.7451008558273315,0.7466974854469299,0.7389827966690063
7,0.7679575085639954,0.7778834104537964,0.7700246572494507,0.7679573893547058
8,0.7596955895423889,0.7640784978866577,0.769265353679657,0.7596957087516785
9,0.7500777840614319,0.7611030340194702,0.7531260848045349,0.7500775456428528
10,0.7687104940414429,0.7708106637001038,0.7815914750099182,0.7687106132507324
11,0.7499280571937561,0.7576145529747009,0.7565159797668457,0.7499279379844666
12,0.7548933029174805,0.7583132982254028,0.7653864622116089,0.7548934817314148
13,0.761100709438324,0.7668106555938721,0.7682545781135559,0.7611008882522583
14,0.7663925290107727,0.7714605927467346,0.7751492857933044,0.7663924694061279
15,0.748072624206543,0.7536541223526001,0.7569817304611206,0.748072624206543
16,0.7454738020896912,0.7468101382255554,0.7576422095298767,0.7454741597175598
17,0.7453359961509705,0.7496123909950256,0.7546647191047668,0.7453362345695496
18,0.7729820609092712,0.7810542583465576,0.7792445421218872,0.7729820013046265
19,0.7541752457618713,0.7636309266090393,0.758261501789093,0.7541750073432922
