EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7824941873550415,0.7830527424812317,0.7835649251937866,0.7824942469596863
1,0.7566735744476318,0.7544639110565186,0.7608405351638794,0.75667405128479
2,0.7386972904205322,0.738332986831665,0.7408409118652344,0.738697350025177
3,0.7298276424407959,0.7311615347862244,0.7304558753967285,0.729827344417572
4,0.7343058586120605,0.7364319562911987,0.7338525652885437,0.7343055605888367
5,0.7655476331710815,0.7666192054748535,0.7662864923477173,0.7655473947525024
6,0.734807550907135,0.7364395260810852,0.7352040410041809,0.7348073720932007
7,0.7468751668930054,0.7498130798339844,0.7456972599029541,0.7468748092651367
8,0.7691267728805542,0.7707652449607849,0.769109308719635,0.7691266536712646
9,0.7572095990180969,0.7573537826538086,0.7587751746177673,0.757209837436676
10,0.7419647574424744,0.7440271377563477,0.7415499091148376,0.74196457862854
11,0.7446876764297485,0.7432000041007996,0.74806147813797,0.7446880340576172
12,0.7385307550430298,0.7396313548088074,0.7393304705619812,0.738530695438385
13,0.7603145241737366,0.7633897066116333,0.7589204907417297,0.7603140473365784
14,0.7645987272262573,0.766383945941925,0.7647036910057068,0.7645986080169678
15,0.7579129338264465,0.7577568292617798,0.7598611116409302,0.7579131126403809
16,0.7311133146286011,0.7319748401641846,0.7318927645683289,0.7311133146286011
17,0.745075523853302,0.7479028701782227,0.743886411190033,0.7450751662254333
18,0.7541565299034119,0.7543155550956726,0.755804181098938,0.7541565299034119
19,0.7510347366333008,0.7515329122543335,0.7522197365760803,0.7510349154472351
