EXP,raw_cleandata,raw_atdata,nash_rawdata,nash_atdata
0,0.7647533416748047,1.3146846294403076,0.9059747457504272,0.7850530743598938
1,0.7474648356437683,1.2670962810516357,1.0811487436294556,0.7652820944786072
2,0.7555720210075378,1.3515187501907349,1.1387594938278198,0.76090407371521
3,0.7544636726379395,1.3477849960327148,1.0742127895355225,0.7630886435508728
4,0.7265164256095886,1.3112294673919678,1.0505621433258057,0.7398401498794556
5,0.779463529586792,1.366105556488037,1.0260334014892578,0.7800395488739014
6,0.7279061079025269,1.3020001649856567,1.1045907735824585,0.7295217514038086
7,0.7383604645729065,1.2251161336898804,1.0001026391983032,0.7584146857261658
8,0.7508463263511658,1.3015305995941162,1.0752567052841187,0.7650762796401978
9,0.7293856143951416,1.292313575744629,1.1306593418121338,0.7395109534263611
10,0.7657510042190552,1.3084415197372437,1.0443791151046753,0.7778902053833008
11,0.755720317363739,1.3274797201156616,1.063401222229004,0.7748041749000549
12,0.7381130456924438,1.2713816165924072,1.124049425125122,0.7522342801094055
13,0.7587550282478333,1.3460042476654053,1.1177914142608643,0.761888325214386
14,0.7454104423522949,1.2833527326583862,1.115409016609192,0.7592456936836243
15,0.7239422798156738,1.28018319606781,1.0914777517318726,0.7380163669586182
16,0.7625247836112976,1.3264914751052856,1.1584595441818237,0.7700445055961609
17,0.7797441482543945,1.3162508010864258,1.14700448513031,0.789903461933136
18,0.7489662766456604,1.3376357555389404,1.0443878173828125,0.7600051164627075
19,0.7602788209915161,1.2967486381530762,1.1202664375305176,0.775043785572052
